studyid	name	biosampleid	organism	source name	cell type	disease
ST0001	LUAD brain met1 scRNA-seq	SAMN13822234	Homo sapiens (9606)	brain		lung adenocarcinoma
ST0001	LUAD brain met2 scRNA-seq	SAMN13822233	Homo sapiens (9606)	brain		lung adenocarcinoma
ST0001	LUAD brain met3 scRNA-seq	SAMN13822232	Homo sapiens (9606)	brain		lung adenocarcinoma
ST0002	PCa1	SAMN16086830	Homo sapiens (9606)	cancerous prostate tissue	Cells isolated from cancerous prostate	prostate cancer
ST0002	PCa2	SAMN16086829	Homo sapiens (9606)	cancerous prostate tissue	Cells isolated from cancerous prostate	prostate cancer
ST0003	ICC_24_Tumor2: FACS24T	SAMN13012145	Homo sapiens (9606)	tumor		cholangiocarcinoma
ST0003	ICC_24_Tumor1: CCC24T	SAMN13012146	Homo sapiens (9606)	tumor		cholangiocarcinoma
ST0003	ICC_23_Tumor: 171239E-ccc23T	SAMN13012147	Homo sapiens (9606)	tumor		cholangiocarcinoma
ST0003	ICC_23_Adjacent: 171239E-ccc23N	SAMN13012148	Homo sapiens (9606)	adjacent		cholangiocarcinoma
ST0003	ICC_20_Tumor: 171239A-ccc20T	SAMN13012149	Homo sapiens (9606)	tumor		cholangiocarcinoma
ST0003	ICC_18_Tumor: BAJD-20180619-12-171239-18T	SAMN13012150	Homo sapiens (9606)	tumor		cholangiocarcinoma
ST0004	F107	SAMN12799257	Homo sapiens (9606)	fetal adrenal tissue		normal fetal adrenal tissue
ST0004	F106	SAMN12799258	Homo sapiens (9606)	fetal adrenal tissue		normal fetal adrenal tissue
ST0004	F7	SAMN12799259	Homo sapiens (9606)	fetal adrenal tissue		normal fetal adrenal tissue
ST0004	F2	SAMN12799261	Homo sapiens (9606)	fetal adrenal tissue		normal fetal adrenal tissue
ST0004	T92	SAMN12799263	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	T75	SAMN12799264	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	T71	SAMN12799266	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	T44	SAMN12799269	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	T40	SAMN12799270	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	T34	SAMN12799272	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	T27	SAMN12799273	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	T19	SAMN12799274	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	T10	SAMN12799275	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	F366	SAMN15453062	Homo sapiens (9606)	fetal adrenal tissue		normal embryo
ST0004	T230	SAMN15453063	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	T214	SAMN15453064	Homo sapiens (9606)	neuroblastoma tissue		neuroblastoma tissue
ST0004	F379	SAMN15453069	Homo sapiens (9606)	fetal adrenal tissue		normal embryo
